gcc_size,relative_gcc,n_components,total_weight,relative_weight,instance,fraction
58,0.9508196721311475,1,94.80803269250008,0.7351512334121919,instance_0001,0.05
55,0.9016393442622951,1,72.07032317979056,0.5588406960186779,instance_0001,0.1
52,0.8524590163934426,1,56.3725959070633,0.43711890474659143,instance_0001,0.15
49,0.8032786885245902,1,44.947440506907895,0.34852707506911895,instance_0001,0.2
46,0.7540983606557377,1,39.023234157701545,0.3025901699259336,instance_0001,0.25
43,0.7049180327868853,1,33.46887462834202,0.2595210950505256,instance_0001,0.3
3,0.42857142857142855,5,0.9833333333333334,1.0,instance_0002,0.05
2,0.2857142857142857,5,0.25,0.2542372881355932,instance_0002,0.1
2,0.2857142857142857,5,0.25,0.2542372881355932,instance_0002,0.15
2,0.2857142857142857,5,0.25,0.2542372881355932,instance_0002,0.2
1,0.14285714285714285,5,0.0,0.0,instance_0002,0.25
1,0.14285714285714285,5,0.0,0.0,instance_0002,0.3
78,0.9512195121951219,1,135.14050841439138,0.7790183795402337,instance_0003,0.05
74,0.9024390243902439,1,112.25308542071838,0.6470836740875175,instance_0003,0.1
70,0.8536585365853658,1,97.95303867442293,0.5646509573961666,instance_0003,0.15
66,0.8048780487804879,1,85.92271904339799,0.49530209809208176,instance_0003,0.2
62,0.7560975609756098,1,73.45846942192419,0.4234518464078764,instance_0003,0.25
57,0.6951219512195121,1,57.83256642861977,0.33337622236648734,instance_0003,0.3
14,0.875,2,3.385635882761359,0.772026949305536,instance_0004,0.05
13,0.8125,2,2.6607628915268116,0.6067340756961173,instance_0004,0.1
13,0.8125,2,2.6607628915268116,0.6067340756961173,instance_0004,0.15
12,0.75,2,2.100287505200032,0.4789288073062426,instance_0004,0.2
9,0.5625,3,1.5561515972483344,0.3548494320956635,instance_0004,0.25
7,0.4375,4,1.112117459507103,0.2535962753420552,instance_0004,0.3
2494,0.9500952380952381,1,151843.2742599408,0.7634939060998758,instance_0005,0.05
2363,0.9001904761904762,1,121472.92360449706,0.6107865980906134,instance_0005,0.1
2231,0.8499047619047619,1,101210.2290105973,0.5089023103669341,instance_0005,0.15
2100,0.8,1,86553.67435535204,0.4352066513511583,instance_0005,0.2
1969,0.7500952380952381,1,72779.36358057994,0.3659470651856166,instance_0005,0.25
1837,0.6998095238095238,1,59362.92474161578,0.29848692021024426,instance_0005,0.3
9806,0.9482641910840345,2,630741.1998017032,0.7827743419673068,instance_0006,0.05
9289,0.8982690262063631,2,518852.02916322195,0.6439155327641976,instance_0006,0.1
8772,0.8482738613286916,2,432929.4496737519,0.5372822723379743,instance_0006,0.15
8249,0.7976984817715889,3,364108.5892308002,0.45187290988663653,instance_0006,0.2
