instance,model,nodes,edges,density,mean_degree,std_degree,clustering,avg_path_length,diameter,components,largest_component,isolated_nodes
9,ER,70.0000 ± 0.0000,448.0000 ± 0.0000,0.1855 ± 0.0000,12.8000 ± 0.0000,3.1330 ± 0.2657,0.1840 ± 0.0094,1.8879 ± 0.0065,3.0000 ± 0.0000,1.0000 ± 0.0000,70.0000 ± 0.0000,0.0000 ± 0.0000
9,WS,70.0000 ± 0.0000,490.0000 ± 0.0000,0.2029 ± 0.0000,14.0000 ± 0.0000,1.5796 ± 0.1576,0.4235 ± 0.0232,1.9784 ± 0.0243,3.0333 ± 0.1826,1.0000 ± 0.0000,70.0000 ± 0.0000,0.0000 ± 0.0000
9,BA,70.0000 ± 0.0000,399.0000 ± 0.0000,0.1652 ± 0.0000,11.4000 ± 0.0000,6.6075 ± 0.3440,0.2766 ± 0.0199,1.9688 ± 0.0104,3.0333 ± 0.1826,1.0000 ± 0.0000,70.0000 ± 0.0000,0.0000 ± 0.0000
9,BL,70.0000 ± 0.0000,448.0000 ± 0.0000,0.1855 ± 0.0000,12.8000 ± 0.0000,7.4135 ± 0.0000,0.6266 ± 0.0000,2.0894 ± 0.0000,4.0000 ± 0.0000,1.0000 ± 0.0000,70.0000 ± 0.0000,0.0000 ± 0.0000
17,ER,417.0000 ± 0.0000,10355.0000 ± 0.0000,0.1194 ± 0.0000,49.6643 ± 0.0000,6.5907 ± 0.2186,0.1193 ± 0.0009,1.8829 ± 0.0002,3.0000 ± 0.0000,1.0000 ± 0.0000,417.0000 ± 0.0000,0.0000 ± 0.0000
17,WS,417.0000 ± 0.0000,10425.0000 ± 0.0000,0.1202 ± 0.0000,50.0000 ± 0.0000,3.0198 ± 0.0985,0.4196 ± 0.0046,1.9522 ± 0.0040,3.0000 ± 0.0000,1.0000 ± 0.0000,417.0000 ± 0.0000,0.0000 ± 0.0000
17,BA,417.0000 ± 0.0000,10100.0000 ± 0.0000,0.1164 ± 0.0000,48.4412 ± 0.0000,29.8484 ± 0.2702,0.2180 ± 0.0026,1.8980 ± 0.0006,3.0000 ± 0.0000,1.0000 ± 0.0000,417.0000 ± 0.0000,0.0000 ± 0.0000
17,BL,417.0000 ± 0.0000,10355.0000 ± 0.0000,0.1194 ± 0.0000,49.6643 ± 0.0000,46.2776 ± 0.0000,0.7730 ± 0.0000,2.0096 ± 0.0000,5.0000 ± 0.0000,3.0000 ± 0.0000,402.0000 ± 0.0000,1.0000 ± 0.0000
20,ER,5.0000 ± 0.0000,10.0000 ± 0.0000,1.0000 ± 0.0000,4.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,5.0000 ± 0.0000,0.0000 ± 0.0000
20,WS,5.0000 ± 0.0000,10.0000 ± 0.0000,1.0000 ± 0.0000,4.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,5.0000 ± 0.0000,0.0000 ± 0.0000
20,BA,5.0000 ± 0.0000,7.0000 ± 0.0000,0.7000 ± 0.0000,2.8000 ± 0.0000,0.7636 ± 0.1768,0.7267 ± 0.1311,1.3000 ± 0.0000,2.0000 ± 0.0000,1.0000 ± 0.0000,5.0000 ± 0.0000,0.0000 ± 0.0000
20,BL,5.0000 ± 0.0000,10.0000 ± 0.0000,1.0000 ± 0.0000,4.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,5.0000 ± 0.0000,0.0000 ± 0.0000
